Date,Payee,Memo,Outflow,Inflow
23.07.2018,"Retail NLD AMSTERDAM UBER",,8.6,0
24.07.2018,"Retail NLD AMSTERDAM UBER",,5.3,0
24.07.2018,"Retail NLD AMSTERDAM UBER",,4.6,0
24.07.2018,"Retail BLR MINSK PIZZERIYA ""PIZZA TEMPO""",,20.9,0
24.07.2018,"Retail NLD AMSTERDAM UBER",,6.1,0
25.07.2018,"Retail NLD AMSTERDAM UBER",,6.6,0
23.07.2018,"Retail BLR MINSK KAFE ""LITVINY LEBYAZHIY""",,15.4,0
22.07.2018,"Retail BLR MINSK SON GOGOLYA",,155,0
22.07.2018,"Retail BLR MINSK WP*WWW.E-PAY.BY",,51.63,0
22.07.2018,"Retail BLR MINSK WP*WWW.E-PAY.BY",,27.82,0
22.07.2018,"Retail BLR MINSK RESTORAN ""AMSTERDAM"" BPSB",,1.3,0
22.07.2018,"Retail BLR MINSK RESTORAN ""BELVEDER"" BPSB",,10.62,0
22.07.2018,"Retail BLR MINSK BISTRO ""OMNAMO"" BAPB",,15.8,0
22.07.2018,"Retail NLD Amsterdam UBER",,5.8,0
22.07.2018,"ATM BLR MINSK ATMIDEA HO02 ZAMOK",,50,0
22.07.2018,"Retail BLR MINSK KOFEINA KULTURNAYA ZHIZN",,7.5,0
22.07.2018,"Retail BLR MINSK MINSKIY METROPOLITEN BPSB",,0.65,0
22.07.2018,"Retail BLR MINSK MINSKIY METROPOLITEN BPSB",,0.65,0
21.07.2018,"Retail BLR Minsk Kafe Pol",,3.5,0
21.07.2018,"Retail BLR Minsk Kafe Pol",,16.5,0
21.07.2018,"ATM BLR MINSK ATM N220 SHOP VITALUR BIB",,50,0
21.07.2018,"Retail BLR MINSK PT APTEKA 5 KAT. SOST. N1",,3.91,0
21.07.2018,"Retail BLR MINSK KAFE ""LITVINY LEBYAZHIY""",,24,0
21.07.2018,"Retail BLR MINSK SHOP ""VITALUR""",,6.55,0
21.07.2018,"Retail NLD Amsterdam UBER",,6.1,0
20.07.2018,"Retail BLR Minsk Seven grupp",,23.5,0
20.07.2018,"ATM BLR MINSK ATM 623 WESTTRANSLINE",,1,0
20.07.2018,"CH Payment BLR MINSK P2P SDBO NO FEE",,0,2
20.07.2018,"ATM BLR MINSK ATM N220 SHOP VITALUR BIB",,20,0
19.07.2018,"Retail BLR MINSK SHOP""WWW.POEZD.RW.BY""",,76.5,0
19.07.2018,"Retail BLR MINSK SHOP""WWW.POEZD.RW.BY""",,76.5,0
19.07.2018,"Retail ITA ROMA 36887584 NTV WWW.ITALOTRE",,46.11,0
19.07.2018,"Retail ITA ROMA 36887778 NTV WWW.ITALOTRE",,88.04,0
18.07.2018,"Retail BLR Minsk TokiNY",,33,0
18.07.2018,"Retail BLR MINSK HYPERMARKET ""PROSTORE"" BA",,68.61,0
17.07.2018,"Retail BLR MINSK KAFE ""LITVINY LEBYAZHIY""",,28.2,0
17.07.2018,"Retail NLD Amsterdam UBER",,6.3,0
16.07.2018,"Retail BLR MINSK LIFESPORT STORE",,209.93,0
